代码,证券名称
000897.SZ,*ST津滨
000898.SZ,鞍钢股份
000899.SZ,赣能股份
000900.SZ,现代投资
000901.SZ,航天科技
000902.SZ,新洋丰
000903.SZ,云内动力
000905.SZ,厦门港务
000906.SZ,浙商中拓
000908.SZ,景峰医药
000909.SZ,数源科技
000910.SZ,大亚圣象
000911.SZ,*ST南糖
000912.SZ,泸天化
000913.SZ,钱江摩托
000915.SZ,山大华特
000917.SZ,电广传媒
000918.SZ,嘉凯城
000919.SZ,金陵药业
000920.SZ,南方汇通
000921.SZ,海信家电
000922.SZ,佳电股份
000923.SZ,河钢资源
000925.SZ,众合科技
000926.SZ,福星股份
000927.SZ,*ST夏利
000928.SZ,中钢国际
000929.SZ,兰州黄河
000930.SZ,中粮科技
000931.SZ,中关村
000932.SZ,华菱钢铁
000933.SZ,神火股份
000935.SZ,四川双马
000936.SZ,华西股份
000937.SZ,冀中能源
000938.SZ,紫光股份
000939.SZ,*ST凯迪
000948.SZ,南天信息
000949.SZ,新乡化纤
000950.SZ,重药控股
000951.SZ,中国重汽
000952.SZ,广济药业
000953.SZ,*ST河化
000955.SZ,欣龙控股
000957.SZ,中通客车
000958.SZ,东方能源
000959.SZ,首钢股份
000960.SZ,锡业股份
000961.SZ,中南建设
000962.SZ,东方钽业
000963.SZ,华东医药
000965.SZ,天保基建
000966.SZ,长源电力
000967.SZ,盈峰环境
000968.SZ,蓝焰控股
000969.SZ,安泰科技
000970.SZ,中科三环
000971.SZ,*ST高升
000972.SZ,ST中基
000973.SZ,佛塑科技
000975.SZ,银泰黄金
000976.SZ,华铁股份
000977.SZ,浪潮信息
000978.SZ,桂林旅游
000980.SZ,众泰汽车
000981.SZ,ST银亿
000982.SZ,*ST中绒
000983.SZ,西山煤电
000985.SZ,大庆华科
000987.SZ,越秀金控
000988.SZ,华工科技
000989.SZ,九芝堂
000990.SZ,诚志股份
000993.SZ,闽东电力
000995.SZ,*ST皇台
000996.SZ,中国中期
000997.SZ,新大陆
000998.SZ,隆平高科
000999.SZ,华润三九
001696.SZ,宗申动力
001872.SZ,招商港口
001896.SZ,豫能控股
001914.SZ,招商积余
001965.SZ,招商公路
001979.SZ,招商蛇口
002001.SZ,新和成
002002.SZ,鸿达兴业
002003.SZ,伟星股份
002004.SZ,华邦健康
002005.SZ,*ST德豪
002006.SZ,精功科技
002007.SZ,华兰生物
002008.SZ,大族激光
002009.SZ,天奇股份
002010.SZ,传化智联
002011.SZ,盾安环境
002012.SZ,凯恩股份
002013.SZ,中航机电
002014.SZ,永新股份
002015.SZ,协鑫能科
002016.SZ,世荣兆业
002017.SZ,东信和平
002019.SZ,亿帆医药
002020.SZ,京新药业
002021.SZ,*ST中捷
002022.SZ,科华生物
002023.SZ,海特高新
002024.SZ,苏宁易购
002025.SZ,航天电器
002026.SZ,山东威达
002027.SZ,分众传媒
002028.SZ,思源电气
002029.SZ,七匹狼
002030.SZ,达安基因
002031.SZ,巨轮智能
002032.SZ,苏泊尔
002033.SZ,丽江股份
002034.SZ,旺能环境
002035.SZ,华帝股份
002036.SZ,联创电子
002037.SZ,保利联合
002038.SZ,双鹭药业
002039.SZ,黔源电力
002040.SZ,南京港
002041.SZ,登海种业
002042.SZ,华孚时尚
002043.SZ,兔宝宝
002044.SZ,美年健康
002045.SZ,国光电器
002046.SZ,轴研科技
002047.SZ,宝鹰股份
002048.SZ,宁波华翔
002049.SZ,紫光国微
002050.SZ,三花智控
002051.SZ,中工国际
002052.SZ,*ST同洲
002053.SZ,云南能投
002054.SZ,德美化工
002055.SZ,得润电子
002056.SZ,横店东磁
002057.SZ,中钢天源
002058.SZ,威尔泰
002059.SZ,云南旅游
002060.SZ,粤水电
002061.SZ,浙江交科
002062.SZ,宏润建设
002063.SZ,远光软件
002064.SZ,华峰氨纶
002065.SZ,东华软件
002066.SZ,瑞泰科技
002067.SZ,景兴纸业
002068.SZ,黑猫股份
002069.SZ,獐子岛
002071.SZ,长城影视
002072.SZ,*ST凯瑞
002073.SZ,软控股份
002074.SZ,国轩高科
002075.SZ,沙钢股份
002076.SZ,*ST雪莱
002077.SZ,*ST大港
002078.SZ,太阳纸业
002079.SZ,苏州固锝
002080.SZ,中材科技
002081.SZ,金螳螂
002082.SZ,万邦德
002083.SZ,孚日股份
002084.SZ,海鸥住工
002085.SZ,万丰奥威
002086.SZ,ST东海洋
002087.SZ,新野纺织
002088.SZ,鲁阳节能
002089.SZ,*ST新海
002090.SZ,金智科技
002091.SZ,江苏国泰
002092.SZ,中泰化学
002093.SZ,国脉科技
002094.SZ,青岛金王
002095.SZ,生意宝
002096.SZ,南岭民爆
002097.SZ,山河智能
002098.SZ,浔兴股份
002099.SZ,海翔药业
002100.SZ,天康生物
002101.SZ,广东鸿图
002102.SZ,ST冠福
002103.SZ,广博股份
002104.SZ,恒宝股份
002105.SZ,信隆健康
002106.SZ,莱宝高科
002107.SZ,沃华医药
002108.SZ,沧州明珠
002109.SZ,兴化股份
002110.SZ,三钢闽光
002111.SZ,威海广泰
002112.SZ,三变科技
002113.SZ,*ST天润
002114.SZ,罗平锌电
002115.SZ,三维通信
002116.SZ,中国海诚
002117.SZ,东港股份
002118.SZ,紫鑫药业
002119.SZ,康强电子
002120.SZ,韵达股份
002121.SZ,*ST科陆
002122.SZ,*ST天马
002123.SZ,梦网集团
002124.SZ,天邦股份
002125.SZ,湘潭电化
002126.SZ,银轮股份
002127.SZ,南极电商
002128.SZ,露天煤业
002129.SZ,中环股份
002130.SZ,沃尔核材
002131.SZ,利欧股份
002132.SZ,恒星科技
002133.SZ,广宇集团
002134.SZ,天津普林
002135.SZ,东南网架
002136.SZ,安纳达
002137.SZ,麦达数字
002138.SZ,顺络电子
002139.SZ,拓邦股份
002140.SZ,东华科技
002141.SZ,贤丰控股
002142.SZ,宁波银行
002144.SZ,宏达高科
002145.SZ,中核钛白
002146.SZ,荣盛发展
002147.SZ,*ST新光
002148.SZ,北纬科技
002149.SZ,西部材料
002150.SZ,通润装备
002151.SZ,北斗星通
002152.SZ,广电运通
002153.SZ,石基信息
002154.SZ,报喜鸟
002155.SZ,湖南黄金
002156.SZ,通富微电
002157.SZ,正邦科技
002158.SZ,汉钟精机
002159.SZ,三特索道
002160.SZ,常铝股份
002161.SZ,远望谷
002162.SZ,悦心健康
002163.SZ,中航三鑫
002164.SZ,宁波东力
002165.SZ,红宝丽
002166.SZ,莱茵生物
002167.SZ,东方锆业
002168.SZ,惠程科技
002169.SZ,智光电气
002170.SZ,芭田股份
002171.SZ,楚江新材
002172.SZ,澳洋健康
002173.SZ,创新医疗
002174.SZ,游族网络
002175.SZ,*ST东网
002176.SZ,*ST江特
002177.SZ,御银股份
002178.SZ,延华智能
002179.SZ,中航光电
002180.SZ,纳思达
002181.SZ,粤传媒
002182.SZ,云海金属
002183.SZ,怡亚通
002184.SZ,海得控制
002185.SZ,华天科技
002186.SZ,全聚德
002187.SZ,广百股份
002188.SZ,*ST巴士
002189.SZ,中光学
002190.SZ,*ST集成
002191.SZ,劲嘉股份
002192.SZ,*ST融捷
002193.SZ,如意集团
002194.SZ,武汉凡谷
002195.SZ,二三四五
002196.SZ,方正电机
002197.SZ,证通电子
002198.SZ,嘉应制药
002199.SZ,东晶电子
002200.SZ,*ST云投
002201.SZ,九鼎新材
002202.SZ,金风科技
002203.SZ,海亮股份
002204.SZ,大连重工
002205.SZ,国统股份
002206.SZ,海利得
002207.SZ,ST准油
002208.SZ,合肥城建
002209.SZ,达意隆
002210.SZ,*ST飞马
002211.SZ,宏达新材
002212.SZ,南洋股份
002213.SZ,特尔佳
002214.SZ,大立科技
002215.SZ,诺普信
002216.SZ,三全食品
002217.SZ,合力泰
002218.SZ,拓日新能
002219.SZ,*ST恒康
002220.SZ,ST天宝
002221.SZ,东华能源
002222.SZ,福晶科技
002223.SZ,鱼跃医疗
002224.SZ,三力士
002225.SZ,濮耐股份
002226.SZ,江南化工
002227.SZ,奥特迅
002228.SZ,合兴包装
002229.SZ,鸿博股份
002230.SZ,科大讯飞
002231.SZ,奥维通信
002232.SZ,启明信息
002233.SZ,塔牌集团
002234.SZ,民和股份
002235.SZ,安妮股份
002236.SZ,大华股份
002237.SZ,恒邦股份
002238.SZ,天威视讯
002239.SZ,奥特佳
002240.SZ,威华股份
002241.SZ,歌尔股份
002242.SZ,九阳股份
002243.SZ,通产丽星
002244.SZ,滨江集团
002245.SZ,澳洋顺昌
002246.SZ,北化股份
002247.SZ,*ST聚力
002248.SZ,华东数控
002249.SZ,大洋电机
002250.SZ,联化科技
002251.SZ,步步高
002252.SZ,上海莱士
002253.SZ,川大智胜
002254.SZ,泰和新材
002255.SZ,*ST海陆
002256.SZ,*ST兆新
002258.SZ,利尔化学
002259.SZ,*ST升达
002260.SZ,*ST德奥
002261.SZ,拓维信息
002262.SZ,恩华药业
002263.SZ,*ST东南
002264.SZ,新华都
002265.SZ,西仪股份
002266.SZ,浙富控股
002267.SZ,陕天然气
002268.SZ,卫士通
002269.SZ,美邦服饰
002270.SZ,华明装备
002271.SZ,东方雨虹
002272.SZ,川润股份
002273.SZ,水晶光电
002274.SZ,华昌化工
002275.SZ,桂林三金
002276.SZ,万马股份
002277.SZ,友阿股份
002278.SZ,神开股份
002279.SZ,久其软件
002280.SZ,联络互动
002281.SZ,光迅科技
002282.SZ,博深股份
002283.SZ,天润工业
002284.SZ,亚太股份
002285.SZ,世联行
002286.SZ,保龄宝
002287.SZ,奇正藏药
002288.SZ,超华科技
002289.SZ,*ST宇顺
002290.SZ,*ST中科
002291.SZ,星期六
002292.SZ,奥飞娱乐
002293.SZ,罗莱生活
002294.SZ,信立泰
002295.SZ,精艺股份
002296.SZ,辉煌科技
002297.SZ,博云新材
002298.SZ,中电兴发
002299.SZ,圣农发展
002300.SZ,太阳电缆
002301.SZ,齐心集团
002302.SZ,西部建设
002303.SZ,美盈森
002304.SZ,洋河股份
002305.SZ,南国置业
002306.SZ,ST云网
002307.SZ,北新路桥
002308.SZ,威创股份
002309.SZ,中利集团
002310.SZ,东方园林
002311.SZ,海大集团
002312.SZ,三泰控股
002313.SZ,日海智能
002314.SZ,南山控股
002315.SZ,焦点科技
002316.SZ,亚联发展
002317.SZ,众生药业
002318.SZ,久立特材
002319.SZ,*ST乐通
002320.SZ,海峡股份
002321.SZ,华英农业
002322.SZ,理工环科
002323.SZ,*ST百特
002324.SZ,普利特
002325.SZ,洪涛股份
002326.SZ,永太科技
002327.SZ,富安娜
002328.SZ,新朋股份
002329.SZ,皇氏集团
002330.SZ,得利斯
002331.SZ,皖通科技
002332.SZ,仙琚制药
002333.SZ,*ST罗普
002334.SZ,英威腾
002335.SZ,科华恒盛
002336.SZ,*ST人乐
002337.SZ,赛象科技
002338.SZ,奥普光电
002339.SZ,积成电子
002340.SZ,格林美
002341.SZ,新纶科技
002342.SZ,巨力索具
002343.SZ,慈文传媒
002344.SZ,海宁皮城
002345.SZ,潮宏基
002346.SZ,柘中股份
002347.SZ,泰尔股份
002348.SZ,高乐股份
002349.SZ,精华制药
002350.SZ,北京科锐
002351.SZ,漫步者
002352.SZ,顺丰控股
002353.SZ,杰瑞股份
002354.SZ,*ST天娱
002355.SZ,兴民智通
002356.SZ,*ST赫美
002357.SZ,富临运业
002358.SZ,森源电气
002359.SZ,*ST北讯
002360.SZ,同德化工
002361.SZ,神剑股份
002362.SZ,汉王科技
002363.SZ,隆基机械
002364.SZ,中恒电气
002365.SZ,永安药业
002366.SZ,台海核电
002367.SZ,康力电梯
002368.SZ,太极股份
002369.SZ,卓翼科技
002370.SZ,亚太药业
002371.SZ,北方华创
002372.SZ,伟星新材
002373.SZ,千方科技
002374.SZ,丽鹏股份
002375.SZ,亚厦股份
002376.SZ,新北洋
002377.SZ,国创高新
002378.SZ,章源钨业
002379.SZ,宏创控股
002380.SZ,科远智慧
002381.SZ,双箭股份
002382.SZ,蓝帆医疗
002383.SZ,合众思壮
002384.SZ,东山精密
002385.SZ,大北农
002386.SZ,天原集团
002387.SZ,维信诺
002388.SZ,新亚制程
002389.SZ,航天彩虹
002390.SZ,信邦制药
002391.SZ,长青股份
002392.SZ,北京利尔
002393.SZ,力生制药
002394.SZ,联发股份
002395.SZ,双象股份
002396.SZ,星网锐捷
002397.SZ,梦洁股份
002398.SZ,垒知集团
002399.SZ,海普瑞
002400.SZ,省广集团
002401.SZ,中远海科
002402.SZ,和而泰
002403.SZ,爱仕达
002404.SZ,嘉欣丝绸
002405.SZ,四维图新
002406.SZ,远东传动
002407.SZ,多氟多
002408.SZ,齐翔腾达
002409.SZ,雅克科技
002410.SZ,广联达
002411.SZ,延安必康
002412.SZ,汉森制药
002413.SZ,雷科防务
002414.SZ,高德红外
002415.SZ,海康威视
002416.SZ,爱施德
002417.SZ,深南股份
002418.SZ,*ST康盛
002419.SZ,天虹股份
002420.SZ,*ST毅昌
002421.SZ,达实智能
002422.SZ,科伦药业
002423.SZ,中粮资本
002424.SZ,贵州百灵
002425.SZ,凯撒文化
002426.SZ,*ST胜利
002427.SZ,*ST尤夫
002428.SZ,云南锗业
002429.SZ,兆驰股份
002430.SZ,杭氧股份
002431.SZ,棕榈股份
002432.SZ,九安医疗
002433.SZ,太安堂
002434.SZ,万里扬
002435.SZ,长江健康
002436.SZ,兴森科技
002437.SZ,誉衡药业
002438.SZ,江苏神通
002439.SZ,启明星辰
002440.SZ,闰土股份
002441.SZ,众业达
002442.SZ,龙星化工
002443.SZ,金洲管道
002444.SZ,巨星科技
002445.SZ,*ST中南
002446.SZ,盛路通信
002447.SZ,*ST晨鑫
002448.SZ,中原内配
002449.SZ,国星光电
002450.SZ,*ST康得
002451.SZ,摩恩电气
002452.SZ,长高集团
002453.SZ,华软科技
002454.SZ,松芝股份
002455.SZ,百川股份
002456.SZ,欧菲光
002457.SZ,青龙管业
002458.SZ,益生股份
002459.SZ,晶澳科技
002460.SZ,赣锋锂业
002461.SZ,珠江啤酒
002462.SZ,嘉事堂
002463.SZ,沪电股份
002464.SZ,众应互联
002465.SZ,海格通信
002466.SZ,天齐锂业
002467.SZ,二六三
002468.SZ,申通快递
002469.SZ,三维工程
002470.SZ,金正大
002471.SZ,中超控股
002472.SZ,双环传动
002473.SZ,圣莱达
002474.SZ,榕基软件
002475.SZ,立讯精密
002476.SZ,宝莫股份
002478.SZ,常宝股份
002479.SZ,富春环保
002480.SZ,新筑股份
002481.SZ,双塔食品
002482.SZ,广田集团
002483.SZ,润邦股份
002484.SZ,江海股份
002485.SZ,希努尔
002486.SZ,嘉麟杰
002487.SZ,大金重工
002488.SZ,金固股份
002489.SZ,浙江永强
002490.SZ,山东墨龙
002491.SZ,通鼎互联
002492.SZ,恒基达鑫
002493.SZ,荣盛石化
002494.SZ,华斯股份
002495.SZ,佳隆股份
002496.SZ,*ST辉丰
002497.SZ,雅化集团
002498.SZ,汉缆股份
002499.SZ,*ST科林
002500.SZ,山西证券
002501.SZ,*ST利源
002502.SZ,*ST鼎龙
002503.SZ,搜于特
002504.SZ,弘高创意
002505.SZ,大康农业
002506.SZ,协鑫集成
002507.SZ,涪陵榨菜
002508.SZ,老板电器
002509.SZ,天广中茂
002510.SZ,天汽模
002511.SZ,中顺洁柔
002512.SZ,达华智能
002513.SZ,*ST蓝丰
002514.SZ,宝馨科技
002515.SZ,金字火腿
002516.SZ,旷达科技
002517.SZ,恺英网络
002518.SZ,科士达
002519.SZ,银河电子
002520.SZ,日发精机
002521.SZ,齐峰新材
002522.SZ,浙江众成
002523.SZ,天桥起重
002524.SZ,光正集团
002526.SZ,山东矿机
002527.SZ,新时达
002528.SZ,英飞拓
002529.SZ,*ST海源
002530.SZ,金财互联
002531.SZ,天顺风能
002532.SZ,新界泵业
002533.SZ,金杯电工
002534.SZ,杭锅股份
002535.SZ,*ST林重
002536.SZ,飞龙股份
002537.SZ,海联金汇
002538.SZ,司尔特
002539.SZ,云图控股
002540.SZ,亚太科技
002541.SZ,鸿路钢构
002542.SZ,中化岩土
002543.SZ,万和电气
002544.SZ,杰赛科技
002545.SZ,东方铁塔
002546.SZ,新联电子
002547.SZ,春兴精工
002548.SZ,金新农
002549.SZ,凯美特气
002550.SZ,千红制药
002551.SZ,尚荣医疗
002552.SZ,宝鼎科技
002553.SZ,南方轴承
002554.SZ,惠博普
002555.SZ,三七互娱
002556.SZ,辉隆股份
002557.SZ,洽洽食品
002558.SZ,巨人网络
002559.SZ,亚威股份
002560.SZ,通达股份
002561.SZ,徐家汇
002562.SZ,兄弟科技
002563.SZ,森马服饰
002564.SZ,天沃科技
002565.SZ,顺灏股份
002566.SZ,益盛药业
002567.SZ,唐人神
002568.SZ,百润股份
002569.SZ,*ST步森
002570.SZ,贝因美
002571.SZ,德力股份
002572.SZ,索菲亚
002573.SZ,清新环境
002574.SZ,明牌珠宝
002575.SZ,ST群兴
002576.SZ,通达动力
002577.SZ,雷柏科技
002578.SZ,闽发铝业
002579.SZ,中京电子
002580.SZ,圣阳股份
002581.SZ,未名医药
002582.SZ,好想你
002583.SZ,海能达
002584.SZ,西陇科学
002585.SZ,双星新材
002586.SZ,*ST围海
002587.SZ,奥拓电子
002588.SZ,史丹利
002589.SZ,瑞康医药
002590.SZ,万安科技
002591.SZ,恒大高新
002592.SZ,八菱科技
002593.SZ,日上集团
002594.SZ,比亚迪
002595.SZ,豪迈科技
002596.SZ,海南瑞泽
002597.SZ,金禾实业
002598.SZ,山东章鼓
002599.SZ,盛通股份
002600.SZ,领益智造
002601.SZ,龙蟒佰利
002602.SZ,世纪华通
002603.SZ,以岭药业
002604.SZ,*ST龙力
002605.SZ,姚记科技
002606.SZ,大连电瓷
002607.SZ,中公教育
002608.SZ,江苏国信
002609.SZ,捷顺科技
002610.SZ,爱康科技
002611.SZ,东方精工
002612.SZ,朗姿股份
002613.SZ,北玻股份
002614.SZ,奥佳华
002615.SZ,哈尔斯
002616.SZ,长青集团
002617.SZ,露笑科技
002618.SZ,丹邦科技
002619.SZ,艾格拉斯
002620.SZ,瑞和股份
002621.SZ,美吉姆
002622.SZ,融钰集团
002623.SZ,亚玛顿
002624.SZ,完美世界
002625.SZ,光启技术
002626.SZ,金达威
